"Code
CIO",Drapeau/pays,"ISO 3166-1
alpha-3"
NEP,Népal,NPL
NGR,Nigeria,NGA
NIG,Niger,NER
NOR,Norvège,NOR
NRU,Nauru,NRU
NZL,Nouvelle-Zélande,NZL
OAR,Athlètes olympiques de Russie (Olympic Athlete from Russia),RUS
OMA,Oman Oman,OMN
PAK,Pakistan,PAK
PAN,Panama,PAN
PAR,Paraguay,PRY
PER,Pérou,PER
PHI,Philippines,PHL
PLE,Palestine,PSE
PLW,Palaos,PLW
PNG,Papouasie-Nouvelle-Guinée,PNG
POL,Pologne,POL
POR,Portugal,PRT
PRK,Corée du Nord (République populaire démocratique de Corée),PRK
PUR,Porto Rico,PRI
QAT,Qatar,QAT
ROC,Comité olympique de Russie, RUS
ROU,Roumanie,ROU
RSA,Afrique du Sud,ZAF
RUS,"Russie, Fédération de",RUS
RWA,Rwanda,RWA
SAM,Samoa,WSM
SEN,Sénégal,SEN
SEY,Seychelles,SYC
SGP,Singapour,SGP
SKN,Saint-Christophe-et-Niévès (Saint-Kitts-et-Nevis),KNA
SLE,Sierra Leone,SLE
SLO,Slovénie,SVN
SMR,Saint-Marin,SMR
SOL,Îles Salomon,SLB
SOM,Somalie,SOM
SRB,Serbie,SRB
SRI,Sri Lanka,LKA
SSD,Soudan du Sud,SSD
STP,Sao Tomé-et-Principe,STP
SUD,Soudan,SDN
SUI,Suisse,CHE
SUR,Suriname,SUR
SVK,Slovaquie,SVK
SWE,Suède,SWE
SWZ,Eswatini/Swaziland,SWZ
SYR,Syrie (République arabe syrienne),SYR
TAN,"Tanzanie, République unie de",TZA
TGA,Tonga,TON
THA,Thaïlande,THA
TJK,Tadjikistan,TJK
TKM,Turkménistan,TKM
TLS,Timor oriental (Timor-Leste),TLS
TOG,Togo,TGO
TPE,Taipei chinois,TWN
TTO,Trinité-et-Tobago,TTO
TUN,Tunisie  Tunisie,TUN
TUR,Turquie,TUR
TUV,Tuvalu,TUV
UAE,Émirats arabes unis,ARE
UGA,Ouganda,UGA
UKR,Ukraine,UKR
URU,Uruguay,URY
USA,États-Unis,USA
UZB,Ouzbékistan,UZB
VAN,Vanuatu,VUT
VEN,Venezuela,VEN
VIE,Viêt Nam,VNM
VIN,Saint-Vincent-et-les-Grenadines,VCT
YEM,Yémen,YEM
ZAM,Zambie  Zambie,ZMB
ZIM,Zimbabwe,ZWE
